目标客户编号,品牌类型,电池技术性能得分,舒适性得分,经济性得分,安全性表现得分,动力性表现得分,驾驶操控性表现得分,外观内饰得分,配置与质量品质得分,户口类型,居住时间,居住区域类型,驾龄,家庭成员数,婚姻类型,子女数,出生年,最高学历,工作年限,单位性质,职位类型,家庭年收入,个人年收入,家庭可支配收入,房贷占收入比,车贷占收入比,购买意愿
1012,2,64.12293317,69.11989267,66.69170125,66.65889442,63.63916254,66.66457788,66.66514189,59.22615178,2,10,1,9,2,3,,1987,8,10,3,2,20,15,10,0,16,0
1013,2,82.41122879,80.19533259,81.55817068,81.45251238,84.07888396,77.77367433,75.48226069,81.86771957,2,31,1,6,3,5,1,1989,5,6,4,4,27,19,16,21,6,0
1014,2,79.83956868,79.06649601,77.80531758,81.92612469,77.76249789,77.77367433,79.86029581,77.76472787,2,29,2,7,5,6,1,1985,5,12,4,2,9,5,4,20,0,0
1015,2,85.96507325,84.46259583,81.55817068,85.6115933,82.7780967,83.06086591,84.49346486,81.44178887,2,12,3,6,3,5,1,1988,4,7,7,9,30,20,18,10,10,0
1016,2,92.47663427,79.62087486,85.16608081,81.45251238,83.85439911,72.48648275,77.77433233,74.08766687,2,26,2,5,5,6,1,1993,6,3,6,8,15,5,7,0,0,1
1017,2,85.24190481,83.48280772,81.55817068,84.7161122,82.6138424,80.52038403,82.39547859,81.09249372,1,18,3,5,5,5,2,1987,5,10,6,4,16,11,10,20,0,0
1018,2,64.12293317,59.99307516,66.69170125,66.65889442,63.63916254,61.3773863,59.94600936,62.55391762,1,15,1,5,3,5,1,1989,5,5,3,2,15,5,9,20,5,0
1019,2,78.91791644,81.85236112,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,20,2,12,6,6,3,1979,5,20,4,1,30,20,23,0,0,0
1020,2,73.2061543,73.34924375,77.80531758,67.55437552,74.74666256,69.73977306,68.77515095,74.86289273,2,30,2,5,3,5,1,1990,6,5,4,2,25,21,16,11,6,0
1021,2,73.92932275,64.58149085,62.93884815,70.81797534,60.39884236,68.87657429,82.21341601,67.00620448,1,5,1,5,3,5,1,1992,6,6,8,10,20,7,9,20,0,0
1022,2,73.7140641,79.43391422,77.80531758,85.1897245,77.70226734,83.06086591,82.34645282,85.54478058,1,12,2,5,3,5,1,1984,5,13,4,7,20,10,12,40,10,0
1023,2,73.92932275,75.77902087,77.80531758,77.76704377,74.52217771,69.41128758,73.38427443,70.75990103,2,38,2,13,5,6,1,1982,6,16,3,4,35,23,19,15,13,0
1024,2,76.28572421,80.80770249,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,5,2,9,3,5,1,1988,5,7,7,9,13,40,30,10,10,0
1025,2,83.21102768,85.62934458,88.91893392,85.6115933,85.62967773,86.13606108,82.16439024,84.76955472,2,12,3,5,3,5,1,1989,4,6,7,9,30,20,26,10,10,0
1026,2,66.69459328,66.69011554,66.69170125,66.65889442,67.95578514,69.41128758,68.94519074,66.65690932,1,12,1,5,3,5,1,1990,6,5,3,4,22,10,7,50,5,0
1027,2,87.2843696,83.11538951,99.0325502,84.7161122,78.23698925,77.97990215,93.31058366,89.22184158,2,18,1,12,3,5,1,1982,5,13,3,6,28,16,17,0,0,1
1028,2,88.38200683,77.39813725,92.67178702,85.1897245,82.942351,94.70467565,80.19944077,81.86771957,2,9,1,8,2,3,,1991,5,9,3,2,20,5,16,22,8,0
1029,2,77.05167858,80.80770249,70.29961138,81.45251238,81.00281808,72.48648275,71.10422558,81.09249372,2,10,2,9,4,4,,1988,6,7,7,9,13,50,40,10,10,0
1030,2,83.93419612,85.62934458,85.16608081,88.87519312,83.85439911,86.13606108,84.31140228,84.76955472,2,35,3,12,4,4,,1985,5,11,7,9,13,25,15,40,15,0
1031,2,85.04342101,85.62934458,85.16608081,88.87519312,85.62967773,88.88277078,84.31140228,84.76955472,2,16,3,9,4,4,,1985,3,12,7,9,30,25,25,10,10,1
1032,2,77.80869155,72.36945563,63.08379112,77.76704377,71.50634238,72.48648275,75.67634606,73.66173617,1,15,2,9,6,6,2,1983,5,11,5,6,13,8,5,15,20,0
1033,2,87.81356492,82.62510972,66.69170125,77.76704377,74.68643201,75.02696464,68.94519074,74.43696203,2,27,1,2,3,2,,1992,6,4,3,8,19,8,10,0,0,0
1034,2,77.99107701,74.7613206,74.05246448,74.50344395,69.73106376,64.124096,73.34727143,66.23097863,2,35,1,13,4,5,2,1985,4,13,4,2,30,15,25,0,0,0
1035,2,64.12293317,66.69011554,66.69170125,66.65889442,63.10284272,66.66457788,66.66514189,63.32914348,2,15,2,6,2,3,,1988,6,10,3,3,15,10,10,20,0,0
1036,2,86.70434003,79.82791437,85.16608081,88.87519312,87.09471929,86.13606108,86.59145113,85.54478058,2,10,3,1,4,4,,1996,5,4,5,7,20,8,15,20,5,0
1037,2,93.52532705,93.22199512,85.16608081,96.29787385,88.80976736,94.16996236,91.0425576,92.20031227,2,25,1,18,3,5,1,1979,6,19,4,2,23,8,16,0,0,1
1038,2,41.70401129,35.76983339,37.0937021,37.48352896,33.32250006,39.14919422,35.61964295,37.00051665,2,29,2,2,5,6,1,1991,5,4,1,5,6,9,25,13,0,0
1039,2,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,1,10,2,8,2,3,,1990,5,10,7,9,10,6,8,18,13,0
1040,2,82.79728523,79.47182639,81.55817068,84.7161122,81.00281808,83.06086591,79.88434139,78.11402303,2,40,2,20,3,5,1,1980,5,15,4,2,25,20,20,0,0,0
1041,2,88.53673336,83.92605026,85.16608081,92.56066173,87.7936955,77.77367433,88.87149998,84.76955472,2,40,2,20,5,6,1,1980,4,16,4,2,35,30,30,0,0,1
1042,2,83.01254388,82.07073087,77.80531758,81.92612469,75.98721927,85.80757561,82.40750138,85.54478058,1,5,2,10,4,2,,1989,6,8,7,9,13,50,40,10,10,0
1043,2,82.4717609,83.52071989,77.80531758,85.6115933,79.53777651,86.13606108,82.16439024,81.09249372,2,36,1,9,4,5,2,1984,4,12,2,4,18,12,11,20,0,0
1044,2,64.66371615,74.51599249,77.80531758,77.76704377,77.59824359,77.77367433,79.8723186,77.76472787,1,21,1,7,3,5,1,1984,6,10,4,5,18,10,13,12,0,0
1045,2,72.09692941,74.79923276,74.05246448,77.76704377,74.52217771,75.02696464,64.37307026,70.75990103,2,37,1,10,4,5,2,1982,5,13,7,9,20,6,7,35,11,0
1046,2,73.92932275,69.0819805,74.05246448,74.50344395,72.91115339,75.02696464,73.20221184,73.66173617,2,30,1,10,3,5,1,1985,5,10,4,2,29,17,12,20,20,0
1047,2,79.83956868,81.09094276,77.80531758,81.45251238,84.07888396,83.06086591,82.34645282,85.54478058,2,15,2,9,2,3,,1988,5,6,8,10,8,36,30,10,10,0
1048,2,73.14562219,74.51599249,70.44455435,77.76704377,84.01865341,75.23319245,82.16439024,77.76472787,2,26,1,6,3,2,,1994,4,3,4,7,11,15,22,12,0,0
1049,2,73.92932275,76.90785746,70.44455435,74.08157516,72.91115339,83.5955792,82.34645282,84.76955472,2,35,1,13,2,3,,1985,4,12,3,5,30,25,25,0,0,0
1050,2,85.22580648,94.49988017,92.67178702,88.87519312,88.93022847,91.62948048,88.6894374,77.76472787,2,35,3,9,4,5,1,1985,6,16,4,5,34,18,14,36,5,0
1051,2,73.2061543,74.79923276,70.44455435,77.76704377,77.76249789,77.77367433,79.8723186,77.76472787,2,12,1,5,5,6,1,1988,5,11,2,4,18,10,14,0,0,0
1052,2,77.06942477,67.09544592,59.33093802,74.50344395,61.63939907,64.45258148,57.83600031,62.97984832,1,8,1,4,4,5,2,1982,4,15,4,2,16,12,10,30,10,0
1053,2,66.28085084,76.39139077,66.69170125,84.7161122,82.7780967,75.02696464,79.7392818,77.41543272,1,19,1,1,3,5,1,1986,5,9,6,6,19,10,8,0,0,0
1054,2,72.09692941,72.12412753,70.29961138,70.81797534,63.41467769,71.62328399,64.51812985,67.43213518,1,16,1,6,3,5,1,1989,6,6,4,4,16,18,15,21,6,0
1055,2,70.57396208,68.67665012,70.44455435,66.65889442,71.67059668,71.95176946,73.38427443,70.33397033,1,15,1,6,2,3,,1990,6,5,5,2,20,15,12,20,5,0
1056,2,73.07911376,75.16665098,70.44455435,74.50344395,74.68643201,71.95176946,75.48226069,69.98467517,2,33,1,6,3,5,1,1987,4,8,3,5,23,11,18,15,0,0
1057,2,59.26138002,44.97202792,55.57808492,52.28420772,69.6708332,72.81496823,55.55595146,54.34424116,2,31,2,10,3,2,,1988,6,9,6,4,20,8,9,0,25,0
1058,2,79.83956868,80.76979032,81.55817068,81.03064359,83.85439911,80.52038403,86.60347392,77.76472787,1,10,2,5,5,6,1,1984,5,13,4,6,24,16,12,0,25,0
1059,2,82.22884332,85.91258485,81.55817068,88.87519312,83.85439911,85.80757561,82.15236745,84.76955472,2,35,1,8,3,5,1,1984,5,13,3,2,23,9,12,0,25,0
1060,2,75.4194169,69.6943504,70.44455435,85.1897245,79.53777651,80.52038403,73.51731123,74.01103133,2,30,1,10,5,6,1,1990,6,6,5,5,31,25,27,0,0,0
1061,2,80.57883545,78.01050714,85.16608081,77.76704377,76.68619548,79.98567074,82.34645282,76.98950202,2,5,1,3,3,5,1,1980,4,15,9,11,30,25,26,0,0,0
1062,2,72.82009786,69.11989267,66.69170125,70.81797534,71.67059668,74.69847916,73.32322586,70.33397033,2,16,1,12,5,6,1,1978,8,16,3,4,36,24,15,30,0,0
1063,1,76.37394232,76.33339972,85.31102379,81.92612469,81.00281808,81.05509732,79.69025602,65.88168347,2,19,1,6,3,5,1,1984,5,12,1,2,15,7,10,30,10,0
1064,1,71.29713052,69.97759067,66.69170125,70.81797534,69.89531806,66.66457788,71.23726238,70.75990103,2,35,1,9,3,5,1,1984,5,12,7,9,40,25,35,10,0,0
1065,1,93.19980272,93.37104359,73.9041436,96.71974265,96.90143205,96.91667206,95.55362952,96.30330397,2,31,2,6,5,6,1,1989,6,7,6,2,11,15,12,18,20,0
1066,1,82.41122879,83.52071989,81.55817068,84.7161122,81.00281808,80.52038403,82.34645282,85.54478058,2,10,1,6,5,6,1,1983,5,12,4,6,16,10,5,20,20,0
1067,1,71.38300684,82.98082128,59.03767417,72.71248175,56.72345736,79.98567074,78.08943171,86.32000643,1,14,3,10,3,5,1,1991,5,10,7,9,20,14,12,30,0,0
1068,1,82.85781735,75.81693304,81.41322771,73.60796285,79.53777651,88.88277078,84.49346486,76.98950202,2,29,2,2,5,6,1,1990,4,4,2,5,30,11,11,20,30,0
1069,1,83.21102768,82.35397114,81.55817068,81.03064359,82.7780967,83.5955792,86.72448794,88.52325126,2,25,1,5,1,1,,1994,6,3,4,8,34,12,12,25,15,0
1070,1,83.19492935,74.39390238,70.44455435,81.50425589,77.70226734,82.73238044,73.15318607,88.87254642,2,32,2,8,3,5,1,1988,6,8,3,4,30,14,22,20,0,0
1071,1,82.22884332,88.91681971,77.80531758,81.45251238,82.7780967,88.88277078,97.70064157,88.87254642,1,5,2,5,5,6,1,1987,5,9,4,3,14,10,8,15,40,0
1072,1,87.07429814,79.82791437,77.80531758,81.92612469,83.85439911,83.06086591,84.31140228,84.76955472,2,29,1,7,3,2,,1991,6,7,4,6,13,8,5,10,20,0
1073,1,85.04342101,88.91681971,88.91893392,85.1897245,82.6138424,86.13606108,84.31140228,84.76955472,2,29,2,7,3,2,,1991,6,7,4,4,18,11,8,10,20,0
1074,1,79.83956868,73.75457412,77.80531758,81.45251238,77.28800654,72.48648275,71.04317701,66.65690932,1,17,1,12,3,5,1,1988,5,7,7,9,30,22,10,0,0,0
1075,1,76.69946665,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,8,1,8,2,3,,1992,6,8,2,2,50,40,46,15,10,0
1076,1,81.74859245,69.00913279,81.55817068,74.50344395,72.97138394,75.56167793,80.06640397,67.00620448,2,26,1,5,3,2,,1993,5,6,8,10,14,20,7,53,5,0
1077,1,90.77128148,92.60962522,96.27969715,88.87519312,92.1103181,85.80757561,93.32260645,92.97553812,2,18,2,6,5,6,1,1985,3,12,3,4,14,8,7,25,28,0
1078,1,78.53185999,60.39840554,70.44455435,67.55437552,70.97162047,72.48648275,62.40812079,55.54909078,2,35,2,15,3,5,1,1985,5,13,5,6,14,15,7,50,7,0
1079,1,60.10153923,65.27803869,48.06900081,67.55437552,74.85068631,79.98567074,64.56715562,66.23097863,2,18,2,12,3,5,1,1982,5,14,3,3,12,5,6,0,20,0
1080,1,65.40298292,76.94576962,66.83664422,73.60796285,76.35768688,69.94600087,77.77433233,74.01103133,2,10,1,5,3,5,1,1988,4,8,5,4,10,8,7,20,10,0
1081,1,97.07917152,92.20429484,73.9041436,99.98334246,92.1103181,91.62948048,91.16357162,99.98036497,2,29,1,4,5,6,1,1991,6,5,5,5,11,10,11,20,0,0
1082,1,42.60790139,45.58439782,37.0937021,41.16899757,38.11361401,41.6896761,39.86464126,40.32828249,2,32,1,12,3,5,1,1988,6,12,6,1,37,33,33,25,0,0
1083,2,97.07917152,95.9812783,96.27969715,95.82426155,87.25897359,94.70467565,93.26155789,92.20031227,2,47,1,16,3,5,1,1972,6,25,5,6,7,6,5,15,0,0
1084,2,83.21102768,84.64955647,81.55817068,88.87519312,85.62967773,83.5955792,84.49346486,84.76955472,1,35,1,8,5,6,1,1985,6,11,3,6,8,18,12,20,20,0
1085,2,67.74328606,72.12412753,70.44455435,63.3952946,54.24394185,61.3773863,69.00623931,69.98467517,2,20,1,6,1,1,,1990,6,7,4,5,17,16,28,0,0,0
1086,2,86.3511297,84.64955647,77.80531758,77.76704377,77.76249789,77.77367433,73.39629721,74.08766687,2,15,3,8,6,6,2,1990,5,8,7,9,15,7,7,0,0,0
1087,2,65.58536839,66.69011554,66.69170125,74.50344395,66.65499787,66.66457788,66.66514189,66.65690932,1,10,2,7,3,5,1,1988,5,12,4,6,20,10,12,0,17,0
1088,2,94.63455195,98.76714341,88.91893392,99.98334246,93.88559672,96.91667206,93.26155789,99.98036497,2,30,2,2,3,5,1,1989,8,5,2,5,25,15,13,20,0,0
1089,2,66.18485551,78.56488599,66.69170125,70.39610654,60.78486699,58.30219113,64.25000399,51.78870588,2,5,2,5,3,2,,1996,5,3,1,8,60,20,40,0,0,0
1090,2,77.80869155,74.11066211,81.41322771,77.76704377,74.68643201,80.31415621,71.04317701,70.33397033,1,10,2,4,4,2,,1992,5,6,4,2,25,12,15,0,0,0
1091,2,77.99107701,76.18435125,74.05246448,74.50344395,74.46194715,83.38935139,71.10422558,76.98950202,2,30,2,6,3,5,1,1989,6,7,4,3,25,14,9,20,20,0
1092,2,85.55133081,80.47857286,74.05246448,74.50344395,82.7780967,80.84886951,84.31140228,92.97553812,2,35,1,11,5,6,1,1985,6,12,4,2,9,5,4,15,25,0
1093,2,94.32512594,93.08780332,85.16608081,88.87519312,93.72134242,94.16996236,93.26155789,92.20031227,1,9,2,3,5,6,1,1987,6,9,3,4,10,4,3,20,20,0
1094,2,68.72547041,69.97759067,62.93884815,66.65889442,66.65499787,75.02696464,73.33524865,69.98467517,2,20,2,4,4,4,,1994,6,4,4,7,15,7,7,0,25,0
1095,2,74.25484708,86.89237296,81.55817068,81.45251238,79.0030546,83.5955792,82.21341601,78.11402303,2,10,4,5,5,5,2,1970,5,25,9,11,30,20,26,0,0,0
1096,2,72.82009786,71.14433942,66.69170125,69.92249424,69.73106376,69.73977306,71.04317701,69.98467517,2,20,2,4,4,4,,1994,6,4,4,7,8,5,5,0,0,0
1097,2,52.80685933,59.8440267,44.45446533,59.70982599,60.39884236,63.25812929,57.84802309,66.30761417,2,5,3,5,3,2,,1992,5,4,4,8,15,6,4,25,25,0
1098,2,75.77781441,74.51599249,77.80531758,81.03064359,72.74689909,72.48648275,80.06640397,74.43696203,2,40,1,15,3,5,1,1980,6,16,3,2,30,25,20,0,0,0
1099,2,73.92932275,77.39813725,74.05246448,78.66252487,74.52217771,75.02696464,75.49428348,74.43696203,2,35,1,15,3,5,1,1985,5,10,3,2,13,25,25,0,0,0
1100,2,77.26790856,83.48280772,81.55817068,80.55703128,77.59824359,77.77367433,80.06640397,81.44178887,2,31,1,10,3,2,,1988,5,8,4,1,19,9,13,0,0,0
1101,2,82.22884332,79.06649601,81.55817068,74.50344395,81.00281808,83.5955792,80.05438118,77.76472787,1,10,1,5,3,5,1,1990,6,4,6,2,17,15,20,10,6,0
1102,2,79.83956868,83.52071989,85.16608081,81.03064359,81.00281808,83.5955792,84.49346486,85.54478058,1,25,2,3,2,3,,1995,6,3,4,5,30,18,8,30,20,0
1103,1,64.60318404,64.94890906,70.29961138,70.34436303,57.32277647,72.28025494,73.20221184,62.12429386,2,36,2,10,5,6,1,1983,6,12,4,2,22,12,8,20,25,0
1104,1,85.78268779,86.89237296,74.19740745,85.6115933,80.83856378,80.52038403,82.16439024,77.33879717,2,40,1,10,3,5,1,1980,5,16,7,9,30,25,15,25,6,0
1105,1,71.29713052,72.77478601,77.80531758,81.45251238,71.73082723,66.66457788,75.49428348,78.19065857,2,15,2,10,5,6,1,1985,5,12,4,4,30,9,14,10,20,0
1106,1,83.93419612,78.66116563,81.41322771,85.1897245,76.46171063,77.77367433,80.05438118,84.76955472,1,15,1,12,3,5,1,1984,5,13,4,6,46,25,14,30,20,0
1107,1,81.48957655,84.500508,81.55817068,88.87519312,88.86999791,91.62948048,84.50548765,88.87254642,2,10,2,7,5,6,1,1984,5,12,4,6,36,23,13,20,20,0
1108,1,81.68806034,74.51599249,81.55817068,77.76704377,79.70203081,83.5955792,79.8723186,73.66173617,2,6,2,9,2,3,,1988,5,9,7,9,60,50,40,10,10,0
1109,1,74.25484708,72.4073678,74.05246448,77.76704377,79.22753946,69.41128758,79.92134438,77.76472787,1,10,2,8,3,5,1,1981,5,16,4,3,12,8,4,0,50,0
1110,1,63.33923261,67.41362174,70.29961138,62.97342581,71.50634238,60.84267301,66.65311911,62.55391762,2,27,2,2,3,2,,1992,4,4,4,8,15,6,12,0,0,0
1111,1,73.92932275,66.69011554,74.05246448,77.34517498,75.92698872,72.48648275,77.58024696,74.78625718,2,30,2,10,3,5,1,1989,6,8,4,5,39,22,19,0,20,0
1112,1,85.04342101,83.8881381,77.80531758,81.45251238,84.01865341,83.06086591,75.48226069,74.43696203,2,34,2,5,3,5,1,1985,5,11,4,2,25,13,9,0,0,0
1113,1,82.41122879,84.46259583,81.55817068,81.92612469,88.86999791,83.5955792,84.44443909,81.86771957,2,11,2,8,3,5,1,1989,6,8,7,9,60,50,40,10,10,0
1114,1,78.91791644,77.80346762,70.29961138,77.76704377,66.71522843,66.12986459,68.82417673,70.75990103,1,10,1,5,4,6,2,1983,5,13,6,3,20,16,15,20,15,0
1115,1,68.54308495,72.4073678,74.05246448,77.29343146,77.76249789,75.56167793,75.43323492,73.31244102,2,35,1,10,2,3,,1984,4,10,4,5,15,12,10,25,15,0
1116,1,88.92278981,88.91681971,88.91893392,88.87519312,88.86999791,88.88277078,88.88352277,88.87254642,2,29,2,6,2,3,,1983,6,12,6,4,19,12,6,20,30,0
1117,1,82.41122879,83.60489783,74.19740745,85.1897245,79.0030546,83.06086591,82.16439024,82.21701473,2,31,1,8,6,6,2,1989,6,8,4,3,30,22,26,16,6,0
1118,1,73.92932275,74.51599249,70.44455435,70.81797534,72.91115339,72.48648275,71.0551998,70.33397033,1,10,1,11,4,5,2,1990,5,8,1,3,35,27,18,25,10,0
1119,1,77.26790856,76.91995915,74.05246448,74.08157516,69.73106376,82.73238044,77.95639491,78.88924889,2,7,1,6,5,6,1,1986,8,7,3,7,32,16,10,20,30,0
1120,1,70.94392019,73.75457412,74.19740745,76.87156267,76.04744983,63.79561053,73.15318607,80.66656302,2,5,4,3,3,5,1,1970,4,25,9,11,60,55,50,15,0,0
1121,1,88.92278981,88.91681971,88.91893392,88.87519312,88.86999791,88.88277078,88.88352277,88.87254642,2,29,2,5,2,3,,1981,6,15,5,4,41,27,22,20,0,0
1122,1,88.92278981,88.91681971,88.91893392,88.87519312,88.86999791,88.88277078,88.88352277,88.87254642,2,28,1,3,3,5,1,1984,6,11,4,2,40,24,19,25,0,0
1123,2,85.96507325,81.09094276,77.80531758,88.87519312,90.33503948,85.80757561,82.15236745,81.09249372,2,25,1,8,3,2,,1991,6,6,4,8,11,8,10,25,0,0
1124,2,61.6605674,71.07764671,48.35563931,66.12979506,44.86506489,91.09476719,55.62394412,49.96528016,2,38,1,11,3,5,1,1982,5,15,7,9,13,5,10,20,13,0
1125,2,61.84295287,74.23275222,55.57808492,89.34880542,68.49050705,71.95176946,66.65311911,67.35250435,2,27,2,7,6,6,2,1993,8,3,2,7,18,12,15,16,8,0
1126,2,46.53463595,84.92069504,81.55817068,85.6115933,85.31944067,91.62948048,82.15236745,85.54478058,1,20,2,5,5,5,3,1985,6,10,4,2,18,12,13,30,10,0
1127,2,71.68318697,72.12412753,70.44455435,77.76704377,72.91115339,72.48648275,71.04317701,70.33397033,1,5,2,10,1,1,,1990,6,4,3,7,18,15,12,12,10,0
1128,2,75.77781441,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,1,30,1,10,3,5,1,1982,6,15,4,2,20,15,12,20,0,0
1129,2,88.92278981,90.17984809,88.91893392,88.87519312,85.79393203,88.88277078,95.55362952,92.97553812,2,20,2,15,3,5,1,1972,8,22,3,2,21,10,8,15,25,0
1130,2,80.7664081,87.65379133,88.91893392,81.45251238,80.77833322,83.5955792,82.16439024,81.86771957,2,39,1,15,4,5,2,1981,6,15,4,3,30,17,16,25,0,0
1131,2,64.43235917,72.4073678,70.44455435,70.34436303,68.12003944,74.69847916,75.49428348,77.76472787,2,9,1,3,3,5,1,1988,5,9,4,7,30,10,20,30,5,0
1132,2,80.38035166,81.49627314,81.55817068,81.92612469,85.85416258,86.13606108,77.77433233,85.54478058,1,15,1,10,3,5,1,1982,6,15,1,4,11,15,4,10,5,0
1133,2,80.38035166,84.09517762,70.44455435,88.87519312,79.47754596,88.88277078,84.49346486,77.33879717,1,21,1,7,3,5,1,1982,5,17,4,2,11,12,10,25,20,0
1134,2,81.36253601,78.37792536,85.16608081,81.45251238,82.55361184,83.06086591,86.40938855,81.09249372,2,39,1,20,4,5,2,1981,5,15,4,3,30,15,14,25,0,0
1135,2,74.25484708,74.43181455,74.05246448,74.08157516,79.37352221,74.69847916,77.64129553,69.98467517,2,20,2,10,5,6,1,1987,6,10,4,4,18,11,5,20,25,0
1136,2,91.67683539,86.67400322,92.52684404,96.71974265,93.88559672,83.5955792,82.15236745,87.67138987,2,17,3,7,3,5,1,1978,4,23,7,9,18,13,7,20,25,0
1137,2,63.73687672,59.26956896,51.82185391,63.3952946,63.63916254,71.95176946,73.38427443,66.65690932,2,32,1,6,3,5,1,1986,5,8,5,4,20,8,6,20,30,0
1138,2,87.02986436,74.92132287,55.71640254,67.55437552,71.83485098,82.52615262,75.47023791,78.11402303,2,30,2,18,5,6,2,1971,5,25,7,9,20,15,10,44,14,0
1139,2,77.80869155,77.80346762,70.29961138,74.50344395,71.44611182,77.77367433,77.77433233,77.76472787,2,26,1,3,2,3,,1993,6,3,6,8,20,10,17,0,0,0
1140,2,72.58874088,78.66116563,59.33093802,85.6115933,77.70226734,85.80757561,73.32322586,81.09249372,1,28,2,7,3,2,,1990,6,6,4,2,20,13,10,20,0,0
1141,2,80.38035166,74.51599249,66.69170125,76.87156267,79.53777651,80.52038403,75.67634606,77.76472787,2,12,2,8,5,6,1,1986,6,11,4,6,30,17,18,10,0,0
1142,2,75.77781441,73.67039618,63.08379112,70.34436303,69.6708332,71.95176946,62.42014358,67.08284002,2,20,2,5,3,5,1,1988,6,7,4,4,30,10,11,20,20,0
1143,2,79.83956868,79.06649601,81.55817068,81.03064359,80.83856378,77.77367433,82.34645282,70.33397033,2,18,2,2,3,5,1,1982,5,15,4,7,11,10,18,0,0,0
1144,2,72.58874088,74.29762275,85.16608081,66.18528212,71.30012907,75.23319245,66.53210509,69.20944931,2,30,3,7,5,6,2,1990,6,6,3,5,12,7,9,20,10,0
1145,2,74.82328899,74.14857428,81.55817068,84.7161122,74.68643201,77.77367433,77.77433233,88.87254642,1,8,1,5,3,2,,1995,6,1,2,8,14,8,10,0,25,0
1146,2,79.64108488,63.93699895,55.57808492,52.75450277,49.45011338,55.22422801,62.13998411,51.86872009,1,21,1,16,3,5,1,1984,6,16,5,1,14,32,31,10,5,0
1147,2,77.80869155,74.11066211,70.29961138,77.76704377,71.44611182,77.77367433,77.77433233,77.76472787,2,25,1,3,3,2,,1994,6,3,3,8,14,10,15,0,0,0
1148,2,71.35766264,63.4026404,62.93884815,71.23984413,67.89555458,66.99306336,60.12807194,58.44723286,2,6,1,3,3,5,1,1985,6,12,2,7,19,16,10,30,5,0
1149,2,72.40635542,72.4073678,59.33093802,74.08157516,71.67059668,69.41128758,73.33524865,77.76472787,2,35,2,10,3,5,1,1984,6,12,3,7,20,7,8,0,30,0
1150,2,79.65718321,64.66566879,66.69170125,66.65889442,69.89531806,69.41128758,71.04317701,73.66173617,1,35,1,10,3,5,1,1984,6,12,3,7,20,10,8,0,35,0
1151,2,76.88185212,76.17302103,70.44455435,76.87156267,69.5065789,80.52038403,75.4452577,71.10919618,2,4,2,8,3,5,1,1990,5,10,3,3,37,35,20,20,10,0
1152,2,63.55449126,58.15174813,66.69170125,70.34436303,70.05957236,66.66457788,59.93398658,62.55391762,2,31,1,8,3,2,,1988,6,6,5,6,8,6,12,0,20,0
1153,2,73.32800765,74.11066211,77.80531758,77.76704377,71.67059668,77.77367433,77.9684177,77.76472787,2,23,2,2,3,2,,1997,5,3,4,8,15,10,9,45,5,0
1154,2,82.22884332,77.22900989,73.9041436,85.6115933,68.43027649,73.83251245,75.47023791,77.76472787,2,28,2,6,3,5,1,1991,5,6,4,3,18,9,10,15,0,0
1155,2,82.22884332,76.94576962,74.05246448,70.81797534,74.68643201,78.10215981,75.48226069,70.33397033,1,20,2,6,3,5,1,1986,5,10,4,2,20,12,9,0,0,0
1156,2,94.45216648,99.0301718,88.91893392,99.98334246,92.1103181,99.99186723,97.70064157,99.98036497,2,30,1,2,3,5,1,1989,8,5,2,5,11,9,12,25,0,0
1157,2,82.08570446,78.56488599,70.44455435,84.7161122,77.92675219,72.48648275,66.60409333,81.44178887,2,26,2,3,2,3,,1993,6,4,6,4,11,9,14,0,0,0
1158,2,53.19226486,54.66232154,44.74772918,70.34436303,63.80341684,66.33609241,82.34645282,74.51359757,1,9,2,2,5,5,2,1990,6,8,2,2,14,23,12,32,12,0
1159,2,81.74859245,83.19956745,74.19740745,85.6115933,73.22139044,78.30838762,86.7855365,80.66656302,2,15,2,8,4,6,1,1990,6,9,6,5,14,6,10,20,10,0
1160,2,75.77781441,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,37,1,10,3,5,1,1982,6,15,4,2,15,8,7,40,0,0
1161,2,83.87366401,84.64305341,81.55817068,84.24249989,86.70598014,73.02119604,75.71334905,80.31726786,2,46,1,6,6,6,1,1974,6,23,7,9,15,12,10,26,15,0
1162,2,71.68318697,77.04204926,66.69170125,81.03064359,79.06328516,72.48648275,79.8723186,67.43213518,2,30,2,15,3,5,1,1986,5,13,4,3,24,8,7,20,25,0
1163,2,61.6605674,71.70822631,85.16608081,63.44372086,61.22354036,58.83214547,73.4333002,64.4506692,2,42,1,15,4,6,1,1978,6,18,4,4,18,10,12,34,8,0
1164,2,83.21102768,80.19533259,74.19740745,89.29706191,78.83880031,80.52038403,82.15236745,77.76472787,1,15,1,6,4,6,1,1991,5,6,4,8,15,10,9,0,13,0
